Index,Color,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
1,Red,-0.03983808,-0.06045653,0.9973755,-0.02027918,-0.06288224,0.997815,2.925613,2.925613,1,0,3.876174,0.02218819
1,Red,-0.03967047,-0.0600988,0.9974038,-0.01918039,-0.06333955,0.9978077,2.925766,2.925766,1,0,3.899094,0.02291965
1,Red,-0.0395821,-0.06015594,0.9974039,-0.01931786,-0.06294327,0.9978302,2.939575,2.939575,1,0.7136828,3.921099,0.0220046
1,Red,-0.039494,-0.05973054,0.997433,-0.01834126,-0.06228704,0.9978898,2.94014,2.94014,1,0,3.943462,0.02236319
1,Red,-0.03911699,-0.05960741,0.9974552,-0.01837161,-0.06217967,0.9978959,2.936569,2.936569,1,0,3.96555,0.02208781
1,Red,-0.03875566,-0.05913914,0.9974971,-0.01834127,-0.06300426,0.9978448,2.93605,2.93605,1,1,3.987513,0.02196288
2,Blue,-0.03837154,-0.05872208,0.9975366,-0.01808181,-0.06240894,0.9978869,2.936127,2.936127,1,0,4.008729,0.02121639
2,Blue,-0.03811684,-0.05907476,0.9975256,-0.01867688,-0.0625004,0.9978702,2.936066,2.936066,1,0,4.068732,0.0600028
2,Blue,-0.03800258,-0.05900053,0.9975343,-0.01844811,-0.06247027,0.9978763,2.959579,2.959579,1,0.05961016,4.089648,0.02091599
2,Blue,-0.03802794,-0.05837448,0.9975702,-0.01896674,-0.06318686,0.9978215,2.967209,2.967209,1,0,4.120942,0.03129387
2,Blue,-0.03853384,-0.05830518,0.9975548,-0.01835637,-0.06338516,0.9978203,2.967255,2.967255,1,0,4.142348,0.02140665
2,Blue,-0.03887881,-0.05832496,0.9975403,-0.01850918,-0.06338594,0.9978174,2.967377,2.967377,1,0,4.164932,0.02258348
2,Blue,-0.03892898,-0.05845444,0.9975308,-0.018158,-0.06391922,0.9977899,2.992447,2.992447,1,0,4.187655,0.0227232
2,Blue,-0.03863123,-0.05848125,0.9975408,-0.01855476,-0.06425502,0.997761,2.977707,2.977707,1,0.1,4.211071,0.02341604
2,Blue,-0.0383871,-0.05845375,0.9975518,-0.01792936,-0.06329446,0.9978338,2.983246,2.983246,1,0.1,4.232429,0.02135754
2,Blue,-0.03844051,-0.05843706,0.9975507,-0.01800563,-0.0649576,0.9977255,2.982376,2.982376,1,0.1,4.25441,0.02198172
2,Blue,-0.03884294,-0.05822659,0.9975474,-0.01800548,-0.06437723,0.9977632,2.977798,2.977798,1,0.1,4.277604,0.02319384
2,Blue,-0.0389321,-0.05836367,0.9975359,-0.01815812,-0.06358392,0.9978113,2.977524,2.977524,1,0.1,4.298783,0.0211792
2,Blue,-0.03925167,-0.05868046,0.9975049,-0.01857003,-0.06304959,0.9978376,2.966919,2.966919,1,0.1,4.320724,0.02194071
2,Blue,-0.03937562,-0.05857462,0.9975061,-0.01860054,-0.06352261,0.997807,2.934662,2.934662,1,0.8068407,4.342035,0.02131128
2,Blue,-0.03922265,-0.05806056,0.9975423,-0.01863126,-0.062623,0.9978633,2.934586,2.934586,1,0,4.366892,0.02485704
2,Blue,-0.03920238,-0.05801678,0.9975457,-0.01902781,-0.06216465,0.9978845,2.934677,2.934677,1,0,4.388009,0.02111626
2,Blue,-0.03935929,-0.05799124,0.997541,-0.01937874,-0.06304958,0.9978222,2.940872,2.940872,1,0,4.409813,0.02180481
2,Blue,-0.03926294,-0.05811951,0.9975373,-0.01889058,-0.06309577,0.9978287,2.940552,2.940552,1,0,4.433316,0.02350235
2,Blue,-0.03912232,-0.05808765,0.9975446,-0.01846334,-0.06321786,0.997829,2.946915,2.946915,1,0.1,4.455485,0.02216959
2,Blue,-0.03910906,-0.05802344,0.9975488,-0.01794459,-0.06259244,0.9978778,2.94693,2.94693,1,0.1,4.477463,0.0219779
2,Blue,-0.03899569,-0.05789873,0.9975606,-0.01878372,-0.06317189,0.9978259,2.946564,2.946564,1,0.1,4.499729,0.02226543
2,Blue,-0.03870939,-0.05772392,0.9975818,-0.01864627,-0.06330883,0.9978198,2.951172,2.951172,1,0.1,4.521107,0.02137852
2,Blue,-0.03848735,-0.0574263,0.9976076,-0.01898202,-0.06243924,0.9978682,2.933746,2.933746,1,0.1,4.542315,0.02120781
2,Blue,-0.03818845,-0.0571549,0.9976346,-0.01968407,-0.06185986,0.9978908,2.922684,2.922684,1,0.1,4.564929,0.02261448
2,Blue,-0.03768672,-0.05698634,0.9976634,-0.01823436,-0.06312597,0.997839,2.923981,2.923981,1,0.1,4.588059,0.02312946
2,Blue,-0.03705064,-0.05720932,0.9976745,-0.0369418,-0.0626378,0.9973524,2.864456,2.864456,1,0.1,4.610175,0.02211618
